OBJECTID,A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,STATE,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_RESTUSE,A_HELMUSE,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC,A_DOA
173,3,4,7,4,4,4,6,3,2,1,10076,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
174,3,5,8,5,5,5,7,4,2,1,10077,1,1,2023,1,3,4,3,1,1,2,1,1,1,3
175,3,4,7,4,4,4,6,3,2,1,10078,1,1,2023,1,2,4,2,1,2,3,1,1,1,1
176,4,5,10,6,7,7,9,6,2,1,10079,1,1,2023,1,2,4,1,1,1,2,1,1,1,1
177,3,5,8,5,5,5,7,4,2,1,10080,1,1,2023,1,2,4,3,0,0,0,1,6,1,5
178,3,5,9,6,6,6,8,5,2,1,10080,2,1,2023,1,2,4,3,0,0,0,1,6,1,5
179,3,5,8,5,5,5,7,3,2,1,10080,2,2,2023,2,2,4,3,1,1,2,1,1,1,3
180,3,4,7,4,4,4,6,2,2,1,10081,1,1,2023,1,2,4,2,1,2,3,2,1,1,1
181,3,4,7,4,4,4,6,2,2,1,10081,1,2,2023,2,2,4,3,1,2,3,2,1,1,1
182,3,5,8,5,5,5,7,3,2,1,10082,0,1,2023,3,4,4,1,2,1,1,1,1,3,1
183,3,4,7,4,4,4,6,3,2,1,10082,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
184,4,5,10,6,7,7,9,6,2,1,10083,1,1,2023,1,2,4,1,1,1,2,1,1,1,1
185,3,5,9,6,6,6,8,5,2,1,10083,2,1,2023,1,1,4,3,1,2,3,1,1,1,1
186,3,5,9,6,6,6,8,5,2,1,10084,1,1,2023,1,1,4,3,1,2,3,1,1,1,3
187,3,4,7,4,4,4,6,2,2,1,10084,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
188,3,4,7,4,4,4,6,3,2,1,10085,0,1,2023,3,4,4,3,1,1,2,1,1,3,3
189,2,2,5,2,2,2,4,1,2,1,10085,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
190,3,5,8,5,5,5,7,4,2,1,10086,0,1,2023,3,4,4,3,1,2,3,1,1,4,1
191,5,6,13,8,10,10,12,7,3,1,10086,1,1,2023,1,2,4,3,0,0,0,1,6,1,5
192,3,4,7,4,4,4,6,2,2,1,10086,1,2,2023,2,2,4,3,1,2,3,1,1,1,3
193,3,4,7,4,4,4,6,2,2,1,10087,1,1,2023,1,1,4,3,1,2,3,1,1,1,1
194,2,3,6,3,3,3,5,2,2,1,10087,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
195,3,4,7,4,4,4,6,2,2,1,10087,2,1,2023,5,4,4,3,0,0,0,1,6,1,5
196,4,5,10,6,7,7,9,5,2,1,10088,0,1,2023,3,4,4,2,1,1,2,1,1,3,3
197,2,2,5,2,2,2,4,1,2,1,10088,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
198,4,5,10,6,7,7,9,5,2,1,10089,1,1,2023,1,1,4,1,1,1,2,1,1,1,1
199,3,5,9,6,6,6,8,5,2,1,10089,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
200,3,5,8,5,5,5,7,4,2,1,10090,1,1,2023,1,2,4,2,1,2,3,1,1,1,1
201,3,5,8,5,5,5,7,3,2,1,10090,2,1,2023,1,2,4,3,0,0,0,1,6,1,5
202,1,1,3,1,1,1,3,1,1,1,10090,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
203,4,5,11,7,8,8,10,6,2,1,10091,1,1,2023,1,1,4,1,1,2,3,1,1,1,1
204,3,5,9,6,6,6,8,4,2,1,10091,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
205,3,5,8,5,5,5,7,4,2,1,10092,1,1,2023,1,2,4,3,2,1,1,1,1,1,1
206,3,5,8,5,5,5,7,4,2,1,10093,1,1,2023,1,2,4,2,1,1,2,2,1,1,1
207,3,5,8,5,5,5,7,3,2,1,10094,1,1,2023,1,2,4,1,1,1,2,2,1,1,1
208,3,5,8,5,5,5,7,4,2,1,10094,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
209,3,5,8,5,5,5,7,3,2,1,10094,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
210,3,5,9,6,6,6,8,5,2,1,10094,3,1,2023,1,1,4,3,0,0,0,1,6,1,5
211,4,5,10,6,7,7,9,5,2,1,10094,4,1,2023,1,1,4,3,0,0,0,1,6,1,5
212,3,4,7,4,4,4,6,3,2,1,10095,1,1,2023,1,2,4,3,1,1,2,2,1,1,3
213,3,5,8,5,5,5,7,3,2,1,10096,1,1,2023,1,4,1,1,1,1,2,1,1,1,1
214,3,5,9,6,6,6,8,5,2,1,10096,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
